Wave,Spawnpoint,Bot Number,Damage Dealt,Time Alive,Escaped
1,1,0,0,2.54,0
1,3,1,1,3.28,0
1,2,1,0,4.14,0
1,2,3,0,3.14,0
1,1,2,2,3.78,0
1,2,7,0,2.24,0
1,4,4,0,4.32,0
1,4,0,2,6.52,0
1,4,3,3,6,0
1,4,8,4,3.9,0
1,2,2,0,7.66,0
1,1,9,4,4.16,0
1,1,6,0,5.88,0
1,3,9,5,5.38,0
1,4,1,5,10.28,0
1,1,4,7,9.619999,0
1,3,7,1,8.76,0
1,3,8,11,8.5,0
1,4,5,7,10.38,0
1,3,3,8,12.28,0
1,1,7,3,10.94,0
1,3,0,7,15.92,0
1,4,2,0,15.2,0
1,2,6,6,15.36,0
1,2,8,0,14.66,0
1,2,4,14,17.54,0
1,3,4,7,18.36,0
1,2,0,18,20.72,0
1,4,9,8,16.96,0
1,2,9,14,17.98,0
1,1,3,8,23.94,0
1,2,5,17,24.08,0
1,3,6,14,23.64,0
1,4,7,23,26.22,0
1,1,5,18,28.32,0
1,4,6,10,28.88,0
1,1,8,6,28.24,0
1,3,5,9,30.84,0
1,3,2,9,35.68,0
1,1,1,8,36.74,0
2,4,0,0,2.700001,0
2,4,5,0,1.700001,0
2,3,2,0,3.420002,0
2,3,7,0,1.02,0
2,4,2,0,3.720001,0
2,3,5,0,2.459999,0
2,3,4,0,3.060001,0
2,3,0,9,5.139999,0
2,2,3,6,4.540001,0
2,2,6,0,3.200001,0
2,1,0,3,6.380001,0
2,2,4,6,4.400002,0
2,1,7,0,3.799999,0
2,2,1,0,7.360001,0
2,2,8,4,3.919998,0
2,2,10,0,3.239998,0
2,2,9,0,3.739998,0
2,1,5,0,6.599998,0
2,1,8,7,12.78,0
2,1,3,9,15.32,0
2,1,11,9,12.36,0
2,4,1,5,17.56,0
2,2,2,7,17.14,0
2,1,2,14,17.54,0
2,3,3,19,17.14,0
2,1,9,5,14.76,0
2,3,6,7,16.66,0
2,2,0,16,20.28,0
2,1,1,14,20.32,0
2,2,7,5,17.5,0
2,4,8,1,18.78,0
2,1,6,5,20.42,0
2,4,10,13,18.6,0
2,4,11,13,18.9,0
2,3,10,10,20.84,0
2,4,9,7,21.66,0
2,2,11,19,20.88,0
2,3,9,10,22.42,0
2,4,4,23,26.22,0
2,3,1,10,27.8,0
2,4,7,13,26.02,0
2,1,10,21,25.6,0
2,1,4,6,29.32,0
2,4,6,24,28.48,0
2,2,5,10,29.68,0
2,3,11,19,28.62,0
2,3,8,13,31.22,0
2,4,3,21,36.58,1
Wave,Spawnpoint,Bot Number,Damage Dealt,Time Alive,Escaped
1,1,0,0,2.76,0
1,3,2,0,3.18,0
1,1,7,0,1.16,0
1,2,2,5,4.18,0
1,2,5,0,2.88,0
1,3,3,0,4.06,0
1,2,7,0,2.72,0
1,3,5,3,4,0
1,3,6,0,5,0
1,2,4,0,6.02,0
1,2,8,0,4.32,0
1,2,6,0,7.579999,0
1,3,7,0,7.4,0
1,4,9,4,7.58,0
1,2,9,1,7.639999,0
1,4,2,7,11.94,0
1,1,3,10,11.92,0
1,4,6,5,10.94,0
1,1,1,5,13.98,0
1,1,6,16,12.08,0
1,4,1,5,14.72,0
1,4,5,10,13.04,0
1,3,1,7,16.08,0
1,4,3,4,15.58,0
1,3,0,11,17.66,0
1,3,8,1,13.88,0
1,2,0,17,18.2,0
1,1,4,17,16.46,0
1,2,1,6,18.5,0
1,1,2,5,18.62,0
1,4,8,9,16,0
1,2,3,11,20.38,0
1,1,5,13,22.26,0
1,3,4,12,23.26,0
1,3,9,6,20.94,0
1,1,8,5,23.84,0
1,4,7,9,25.6,0
1,4,4,6,28.78,0
1,1,9,12,26.68,0
1,4,0,13,34.66,0
2,3,3,0,2.16,0
2,3,2,0,3,0
2,4,2,3,3.899998,0
2,4,4,1,3.380001,0
2,4,6,0,3.220001,0
2,4,9,0,2.52,0
2,4,8,0,3.060001,0
2,1,4,9,5.740002,0
2,4,10,0,3.080002,0
2,1,9,5,4.279999,0
2,1,8,6,5,0
2,2,10,4,4.639999,0
2,1,10,5,4.759998,0
2,2,11,4,4.66,0
2,2,2,5,9.379997,0
2,2,4,8,8.860001,0
2,3,7,6,7.860001,0
2,3,8,5,7.639999,0
2,2,1,9,12.04,0
2,4,7,0,9.639999,0
2,2,3,8,11.78,0
2,1,6,6,10.38,0
2,3,6,6,10.9,0
2,1,1,20,13.56,0
2,1,0,10,14.58,0
2,4,11,0,10.22,0
2,1,3,11,14.86,0
2,2,0,13,17.18,0
2,1,2,20,16.24,0
2,1,11,8,12.4,0
2,2,7,6,14.72,0
Wave,Spawnpoint,Bot Number,Damage Dealt,Time Alive,Escaped
1,4,0,0,2.44,0
1,1,3,0,1.82,0
Wave,Spawnpoint,Bot Number,Damage Dealt,Time Alive,Escaped
1,1,1,0,2.02,0
1,1,3,0,1.32,0
1,2,1,6,4.82,0
1,2,7,0,3.34,0
1,4,5,0,4.36,0
1,3,8,0,2.94,0
1,3,1,0,6.74,0
1,4,6,6,4.5,0
1,4,9,3,3.76,0
1,1,5,5,6.059999,0
1,4,0,7,17.42,0
1,2,0,13,17.7,0
1,2,8,15,14.4,0
1,4,1,6,18.38,0
1,4,2,6,17.96,0
1,2,6,16,15.94,0
1,4,7,4,15.98,0
1,2,4,22,18.04,0
1,1,9,14,15.76,0
1,4,4,6,18.9,0
1,2,2,25,20.08,0
1,2,5,6,18.74,0
1,3,9,6,16.76,0
1,3,7,14,18.58,0
1,3,3,5,21.26,0
1,3,6,16,19.84,0
1,2,3,3,22.26,0
1,1,7,15,20.4,0
1,3,2,7,23.02,0
1,3,5,18,21.96,0
1,3,0,7,25.06,0
1,2,9,8,23.06,0
1,1,0,17,29.74,0
1,3,4,11,28.6,0
1,1,2,21,30.2,0
1,1,6,0,29.5,0
1,1,8,13,29,0
1,1,4,15,31.22,0
1,4,8,6,32.56,0
1,4,3,16,40.86,0
2,1,1,0,0.5400009,0
2,2,0,0,2.560001,0
2,2,2,0,2.100002,0
2,3,0,0,3.700001,0
2,1,0,4,4.300003,0
2,4,3,0,2.860001,0
2,2,8,0,0.7400017,0
2,4,2,3,3.940002,0
2,1,2,3,4.16,0
2,1,4,2,3.799999,0
2,2,5,0,3.880001,0
2,1,5,3,3.900002,0
2,3,7,0,3.900002,0
2,2,6,0,5.459999,0
2,4,6,4,6.459999,0
2,3,6,3,6.459999,0
2,1,10,5,4.66,0
2,2,4,3,7.740002,0
2,3,3,4,8.400002,0
2,1,9,4,5.779999,0
2,2,10,0,5.559998,0
2,2,11,11,5.880001,0
2,4,10,6,6.66,0
2,1,3,10,10.74,0
2,3,1,3,11.9,0
2,4,5,14,10.62,0
2,2,9,0,8.98,0
2,4,11,5,8.399998,0
2,3,4,3,13.34,0
2,3,5,0,13.2,0
2,4,4,7,15.16,0
2,1,8,4,14.08,0
2,1,11,4,12.82,0
2,3,11,8,13.44,0
2,4,0,16,19.34,0
2,2,1,10,19.08,0
2,2,3,7,18.6,0
2,3,8,9,16.48,0
2,3,9,11,16.5,0
2,4,1,0,20.96,0
2,2,7,4,18.36,0
2,1,6,12,19.4,0
2,4,9,10,18.36,0
2,3,10,8,18.04,0
2,4,7,7,19.72,0
2,3,2,6,22.98,0
2,1,7,14,23.6,0
2,4,8,6,28.66,0
3,2,0,0,3.860001,0
3,3,5,3,6.200005,0
