Wave,Spawnpoint,Bot Number,Damage Dealt,Time Alive,Escaped
1,4,1,0,3.2,0
1,4,0,0,3.78,0
1,2,1,0,3.32,0
1,2,3,0,3.42,0
1,1,0,5,5.48,0
1,1,4,0,3.54,0
1,2,4,3,3.78,0
1,1,8,0,2.72,0
1,4,2,0,5.92,0
1,3,3,0,5.54,0
1,1,3,5,5.56,0
1,1,7,3,3.86,0
1,4,8,0,3.96,0
1,3,6,7,5.3,0
1,1,9,1,4.7,0
1,3,1,3,9.059999,0
1,1,5,7,7.72,0
1,2,9,8,6.24,0
1,3,4,0,8.799999,0
1,2,7,1,7.68,0
1,3,2,31,10.54,0
1,4,9,7,7.46,0
1,4,7,0,8.52,0
1,3,0,7,13.28,0
1,1,1,4,13.36,0
1,1,6,5,10.84,0
1,2,0,8,15.94,0
1,2,8,6,13.48,0
1,3,7,12,16.62,0
1,4,5,4,18.4,0
1,3,5,18,20.06,0
1,4,4,5,21.16,0
1,3,9,3,18.86,0
1,4,6,5,21.22,0
1,2,5,8,22.38,0
1,4,3,18,24.3,0
1,3,8,18,22.92,0
1,2,2,9,27.74,0
1,1,2,10,27.74,0
1,2,6,10,31.82,0
2,1,0,0,3.440002,0
2,1,3,0,2.080002,0
2,4,0,4,4.100002,0
2,4,1,3,3.84,0
2,4,7,0,1.5,0
2,3,1,6,4.600002,0
2,3,3,3,3.580002,0
2,3,0,10,5.380001,0
2,1,6,0,3.099998,0
2,4,11,0,0.9799995,0
2,2,8,0,2.639999,0
2,3,5,0,4.779999,0
2,1,10,0,2.379997,0
2,3,7,6,4.380001,0
2,3,4,0,6.299999,0
2,2,3,3,7.220001,0
2,4,9,4,4.259998,0
2,4,8,8,5.099998,0
2,3,8,5,5.360001,0
2,1,5,7,7.16,0
2,3,11,5,4.459999,0
2,1,4,0,8.880001,0
2,3,2,16,11.06,0
2,4,5,5,9.98,0
2,4,4,0,11.14,0
2,1,7,15,9.66,0
2,1,2,4,14.76,0
2,2,2,8,15.94,0
2,3,9,24,13.02,0
2,4,3,19,17.02,0
2,4,10,8,13.76,0
2,4,6,0,15.8,0
2,2,1,8,19.18,0
2,2,6,12,17.38,0
2,3,10,19,15.5,0
2,1,1,18,20.86,0
2,1,11,6,16.1,0
2,2,10,9,17.9,0
2,2,9,11,18.74,0
2,1,8,12,19.48,0
2,1,9,21,20.9,0
2,2,5,8,23.54,0
2,2,7,24,25.34,0
2,2,4,21,27.58,0
2,4,2,24,29.44,0
2,3,6,37,28.64,0
2,2,0,10,32.98,0
2,2,11,9,29.66,0
3,1,1,0,3.279999,0
3,4,0,0,3.840004,0
3,1,0,3,3.900002,0
3,4,5,0,1.5,0
3,3,1,0,3.900002,0
3,4,2,1,3.459999,0
3,1,2,5,6.279999,0
3,2,6,3,4.459999,0
3,1,7,4,4.199997,0
3,3,11,0,2.300003,0
3,1,10,0,3.099998,0
3,4,4,4,6.340004,0
3,4,1,2,8.759995,0
3,3,9,4,5.039993,0
3,1,8,5,5.579994,0
3,2,10,3,4.900002,0
3,1,4,10,8.18,0
3,2,9,2,6.139999,0
3,3,10,6,6.480003,0
3,2,4,3,9.760002,0
3,2,3,7,10.92,0
3,3,0,25,13.04,0
3,1,6,14,10.42,0
3,1,9,2,9.099998,0
3,2,5,4,11.34,0
3,3,4,23,12.52,0
3,3,8,25,12.89999,0
3,4,10,5,12.68,0
3,2,8,10,15.06,0
3,4,9,11,15.12,0
3,2,11,1,14.1,0
3,2,0,20,21.46,0
3,3,7,24,19.32,0
3,4,8,7,21.96,0
3,1,5,13,24.34,0
3,3,2,31,26.43999,0
3,1,11,8,22.04,0
3,3,5,11,26.3,0
3,4,3,20,27.54,0
3,3,3,27,28.07999,0
3,4,7,7,26.82,0
3,2,1,10,32,0
3,2,7,26,29.62,0
3,2,2,15,33.92,0
3,3,6,39,32.46,0
3,4,11,11,30.88,0
3,1,3,15,38.48,0
3,4,6,14,40.16,0
4,1,1,0,0.1600037,0
4,2,4,0,1.760002,0
4,2,1,0,3.740005,0
4,4,1,4,3.980003,0
4,1,3,0,3.300003,0
4,4,5,0,2.440002,0
4,1,6,0,3.139999,0
4,3,7,0,3.220001,0
4,4,0,8,7.580002,0
4,2,6,0,5.279999,0
4,4,11,0,3.080002,0
4,4,8,0,5.82,0
4,3,2,7,8.880005,0
4,2,2,6,8.980003,0
4,3,8,12,6.18,0
