Wave,Spawnpoint,Bot Number,Damage Dealt,Time Alive,Escaped
1,1,1,0,2.54,0
1,3,0,3,3.7,0
1,3,4,0,2.5,0
1,3,1,4,4.08,0
1,2,6,0,3.06,0
1,2,7,0,2.66,0
1,1,5,1,3.68,0
1,4,1,0,6.28,0
1,1,0,7,7.02,0
1,4,7,5,4.08,0
1,4,5,0,5.94,0
1,4,2,6,7.599999,0
1,3,5,3,6.079999,0
1,1,7,0,5.54,0
1,1,3,7,7.96,0
1,2,1,0,9.32,0
1,1,9,6,6.52,0
1,2,9,0,6.74,0
1,4,4,0,10,0
1,2,8,0,9.219999,0
1,2,4,0,11.76,0
1,4,6,13,11.26,0
1,3,7,0,10.84,0
1,4,3,9,12.94,0
1,1,4,10,12.54,0
1,2,3,9,14.96,0
1,4,0,7,17.1,0
1,3,9,9,12.64,0
1,1,2,14,16.86,0
1,3,8,6,14.74,0
1,3,3,21,18.06,0
1,3,6,9,17.42,0
1,1,6,9,19.24,0
1,2,5,19,22.92,0
1,3,2,28,26.16,0
1,2,0,13,29.72,0
1,1,8,23,26.22,0
1,4,8,15,30.32,0
1,2,2,23,34.46,0
1,4,9,21,32.6,0
2,3,1,0,2.899998,0
2,2,1,0,3.599998,0
2,3,4,0,2.279999,0
2,2,4,0,2.82,0
2,1,2,4,4.18,0
2,2,2,5,4.419998,0
2,4,4,3,3.98,0
2,3,7,0,2.960003,0
2,1,8,0,3.16,0
2,3,5,4,5.539997,0
2,4,6,8,5.18,0
2,2,9,4,4.260002,0
2,4,5,4,7.559998,0
2,4,0,10,10.2,0
2,3,3,0,9.279999,0
2,1,7,2,7.280003,0
2,2,7,4,7.66,0
2,1,1,7,11.08,0
2,2,8,4,8.380001,0
2,1,3,6,11.48,0
2,1,5,12,11.06,0
2,3,0,13,14.38,0
2,4,8,4,11.34,0
2,4,2,6,15.6,0
2,1,6,2,13.9,0
2,4,7,16,13.4,0
2,2,5,8,14.42,0
2,4,1,14,16.84,0
2,2,6,7,14.74,0
2,3,9,5,13.42,0
2,1,4,5,16.1,0
2,2,3,3,18.24,0
2,3,6,8,17.48,0
2,1,9,15,16.62,0
2,4,3,10,20.6,0
2,4,9,18,18.44,0
2,1,0,6,24.14,0
2,3,2,26,25.54,0
2,2,0,8,28.08,0
2,3,8,14,25.34,0
3,3,2,0,0.6800003,0
3,2,3,0,2.5,0
3,3,0,0,4.339996,0
3,4,2,2,3.580002,0
3,1,8,0,1.599998,0
3,1,3,4,4.18,0
3,1,7,0,2.279999,0
3,2,8,0,2.519997,0
3,3,8,0,2.739998,0
3,2,4,0,5.120003,0
3,3,1,5,6.900002,0
3,3,7,0,4.220001,0
3,3,9,0,3.720001,0
3,1,1,0,8.019997,0
3,3,5,2,6.440002,0
3,4,1,7,8.599998,0
3,1,2,8,8.400002,0
3,3,6,10,6.68,0
3,4,3,9,9.040001,0
3,2,0,0,10.93999,0
3,1,9,2,6.619995,0
3,4,9,5,7.919998,0
3,4,4,0,11.26,0
3,4,0,8,13.92,0
3,3,4,10,12.42,0
3,4,6,5,11.9,0
3,4,5,7,12.62,0
3,1,4,7,13.54,0
3,1,0,8,15.98,0
3,4,8,0,12.44,0
3,3,3,4,15.26,0
3,4,7,9,13.76,0
3,2,1,4,18.46,0
3,1,5,14,17.94,0
3,2,5,10,20.1,0
3,2,7,10,21.92,0
3,2,9,7,21.68,0
3,1,6,11,23.74001,0
3,2,2,0,27.06,0
3,2,6,9,33.62,0
4,1,0,0,2.440002,0
4,1,3,0,2,0
4,1,1,0,3.220001,0
4,1,5,0,1.900002,0
4,3,1,4,4.220001,0
4,4,1,0,4.419998,0
4,4,3,2,3.420006,0
