Wave,Spawnpoint,Bot Number,Damage Dealt,Time Alive,Escaped
1,2,0,0,3.78,0
1,1,0,0,5.1,0
1,2,9,0,1.14,0
1,2,1,0,5.22,0
1,3,4,0,3.74,0
1,2,6,0,2.76,0
1,2,2,5,5.2,0
1,1,3,6,4.7,0
1,2,7,0,3.36,0
1,1,7,5,4.3,0
1,1,1,5,7.82,0
1,1,6,4,5.32,0
1,3,6,0,5.36,0
1,3,5,6,5.94,0
1,2,5,3,6.1,0
1,4,9,5,5.059999,0
1,2,4,5,8.559999,0
1,4,7,0,7.719999,0
1,1,2,10,11.46,0
1,4,0,9,13.58,0
1,3,1,12,13.22,0
1,2,8,15,10.24,0
1,4,6,0,12,0
1,1,4,0,13.06,0
1,3,7,7,12.58,0
1,1,9,2,11.6,0
1,1,8,10,12.94,0
1,3,8,11,13.74,0
1,4,3,0,17.1,0
1,3,0,16,19.88,0
1,4,4,12,18.62,0
1,4,5,0,18.96,0
1,4,2,10,20.9,0
1,4,1,16,21.46,0
1,3,9,15,17.66,0
1,3,2,19,22.8,0
1,4,8,11,19.98,0
1,3,3,22,26.14,0
1,2,3,17,26.18,0
1,1,5,12,28.54,0
2,2,1,0,0.1000023,0
2,3,4,0,0.1200027,0
2,1,1,0,3.240002,0
2,3,0,0,3.780003,0
2,2,3,0,2.960003,0
2,1,0,0,5.480003,0
2,4,4,0,3.68,0
2,4,5,0,3.260002,0
2,3,7,0,2.380001,0
2,4,9,0,2.780003,0
2,1,6,0,4.400002,0
2,2,6,1,4.900002,0
2,2,5,0,5.800003,0
2,4,6,4,5.84,0
2,1,3,4,8.240002,0
2,4,7,4,6.5,0
2,3,1,3,10.32,0
2,1,7,3,7.400002,0
2,2,7,0,7.620003,0
2,2,4,0,9.300003,0
2,3,6,6,8.380001,0
2,3,2,4,11.14,0
2,2,2,14,11.44,0
2,4,3,0,11.54,0
2,3,8,0,9.600002,0
2,1,8,6,9.620003,0
2,2,8,3,10.52,0
2,4,0,9,14.82,0
2,1,9,5,11.06,0
2,1,2,9,15.8,0
2,4,2,9,16.14,0
2,3,9,4,14.3,0
