Wave,Spawnpoint,Bot Number,Damage Dealt,Time Alive,Escaped
1,4,0,0,3.28,0
1,2,2,0,3.4,0
1,3,0,5,4.46,0
1,1,7,0,1.68,0
1,1,2,0,4.88,0
1,4,4,4,4.56,0
1,1,9,0,2.42,0
1,2,1,6,7.179999,0
1,1,0,6,7.88,0
1,3,3,0,7,0
1,1,4,6,7.34,0
1,2,5,0,7.86,0
1,3,6,1,8.74,0
1,4,8,4,7.72,0
1,3,9,7,7.94,0
1,4,9,9,8.44,0
1,2,7,3,10.14,0
1,1,1,3,13.86,0
1,4,2,8,14.9,0
1,2,3,10,15.34,0
1,4,7,4,13.4,0
1,3,8,10,14.32,0
1,2,6,14,16.22,0
1,3,4,5,17.36,0
1,2,0,15,20.22,0
1,2,8,18,16.34,0
1,4,1,0,20.1,0
1,3,5,6,18.3,0
1,1,6,6,18.1,0
1,3,2,9,20.94,0
1,4,3,21,21.14,0
1,2,4,30,21.8,0
1,1,3,15,22.7,0
1,3,7,21,22.04,0
1,1,5,17,24.1,0
1,4,6,8,27.06,0
1,3,1,13,30.88,0
1,4,5,8,31.26,0
1,1,8,23,31.52,0
1,2,9,14,35,0
2,1,1,0,2.760002,0
2,4,0,0,3.5,0
2,1,5,0,2.599998,0
2,4,1,0,4.880001,0
2,4,7,0,2.5,0
2,3,5,0,3.739998,0
2,1,6,2,3.779999,0
2,4,8,0,3.419998,0
2,1,9,5,4.18,0
2,3,2,1,8.16,0
2,3,3,0,8.080002,0
2,2,8,3,5.739998,0
2,4,5,3,7.5,0
2,2,2,2,9.34,0
2,4,4,5,8.919998,0
2,2,5,13,8.48,0
2,2,1,7,11.1,0
2,3,8,8,8.459999,0
2,3,7,6,9.880001,0
2,1,4,3,12.76,0
2,3,0,5,14.78,0
2,2,3,1,13.3,0
2,3,4,8,13.4,0
2,3,6,23,13.62,0
2,3,9,3,12.98,0
2,1,8,5,14.08,0
2,4,6,5,19.36,0
2,4,9,17,18.42,0
2,2,0,25,23.24,0
