Wave,Spawnpoint,Bot Number,Damage Dealt,Time Alive,Escaped
1,4,1,0,2.22,0
1,4,3,0,3.18,0
1,4,0,0,4.76,0
1,1,3,0,3.34,0
1,1,6,0,1.88,0
1,2,4,5,4.48,0
1,2,0,0,7.12,0
1,1,9,0,2.7,0
1,1,8,0,3.44,0
1,3,0,0,7.62,0
1,2,5,6,5.52,0
1,4,5,5,6.099999,0
1,1,5,0,6.26,0
1,2,7,5,5.28,0
1,4,7,8,6.6,0
1,1,2,5,9.4,0
1,2,1,5,10.36,0
1,4,2,4,9.86,0
1,3,7,9,8.219999,0
1,3,2,3,11.24,0
1,2,3,16,11.34,0
1,3,8,5,8.78,0
1,3,3,4,12.94,0
1,1,0,0,15.22,0
1,2,9,11,10.64,0
1,3,6,8,12.68,0
1,4,6,0,12.94,0
1,3,4,4,14.26,0
1,1,7,11,14.48,0
1,3,5,5,16.58,0
1,2,2,6,18.24,0
1,4,4,25,21.86,0
1,4,8,3,20.74,0
1,4,9,2,20.84,0
1,1,1,17,26.38,0
1,2,8,28,23.04,0
1,2,6,0,24.92,0
1,1,4,17,27.08,0
1,3,9,13,27.9,0
1,3,1,17,34.14,0
2,1,0,0,2.759998,0
2,1,4,0,1.119999,0
2,1,5,0,0.9799995,0
2,1,2,0,2.759998,0
2,1,3,0,2.34,0
2,3,3,0,3.379997,0
2,2,3,0,3.739998,0
2,2,0,4,5.299999,0
2,4,0,0,5.52,0
2,2,2,4,4.559998,0
2,4,4,3,3.860001,0
2,2,4,3,4.439999,0
2,3,2,0,5.939999,0
2,4,1,2,6.540001,0
2,2,7,4,4.200001,0
2,3,6,0,5.039997,0
2,3,8,3,4.300003,0
2,2,9,3,3.780003,0
2,4,3,6,7.439999,0
2,4,5,2,6.419998,0
2,4,8,6,4.900002,0
2,2,10,1,3.880001,0
2,4,9,0,5.34,0
2,3,10,5,4.98,0
2,1,8,0,6.540001,0
2,2,6,9,7.779999,0
2,2,1,17,11.12,0
2,2,8,9,7.66,0
2,3,7,9,8.360001,0
2,3,0,8,11.98,0
2,4,10,8,8.460003,0
2,4,2,5,12.6,0
2,3,11,7,9.860001,0
2,4,7,9,12.08,0
2,3,9,10,11.1,0
2,3,5,2,13.74,0
2,1,6,0,14.24,0
2,1,10,0,13.56,0
2,3,4,8,17.96,0
2,1,7,3,17.2,0
2,4,11,17,16.56,0
2,2,11,23,18.78,0
2,1,1,13,25.6,0
2,2,5,7,23.62,0
2,1,11,8,21.98,0
2,1,9,6,23.3,0
2,4,6,11,26.82,0
2,3,1,14,35.2,0
3,1,2,0,1.760002,0
3,1,1,0,2.540001,0
3,1,3,0,2.400002,0
3,3,2,0,3.200005,0
3,2,6,0,2.339996,0
3,2,1,3,4.860001,0
3,1,4,0,3.519997,0
3,1,10,0,0.6800003,0
3,2,9,0,1.300003,0
3,1,9,0,2.199997,0
3,4,11,0,1.780006,0
3,3,1,5,6.959999,0
3,2,4,0,5.599998,0
3,4,7,7,5.139999,0
3,2,11,0,3.580002,0
3,4,9,4,4.739998,0
3,4,4,8,7.879997,0
3,4,6,6,7.519997,0
3,4,8,2,6.519997,0
3,2,3,8,9.900002,0
3,2,2,26,11.3,0
3,1,8,0,8.639999,0
3,3,7,0,10.68,0
3,4,5,4,11.75999,0
3,2,10,6,9.520004,0
3,3,4,12,12.98,0
3,3,6,11,13.57999,0
3,3,9,9,12.78,0
3,1,0,9,17.32,0
3,2,7,10,15.71999,0
3,4,2,16,20,0
3,4,3,7,20.28,0
3,2,5,9,19.71999,0
3,1,7,12,18.92,0
3,2,0,26,23.36,0
3,4,1,25,23.44,0
3,3,8,21,20.71999,0
3,3,11,24,22.04,0
3,3,0,14,28.7,0
3,1,11,8,23.54,0
3,1,5,25,29.85999,0
3,4,0,34,33.64,0
3,3,5,15,33.42,0
3,3,3,28,35.1,0
3,2,8,17,33.71999,0
3,1,6,11,35.16,0
3,3,10,12,34.24001,0
3,4,10,5,35.16,0
4,2,2,0,1.839996,0
4,3,2,0,2.900002,0
4,2,3,0,2.839996,0
4,3,3,0,3.639999,0
4,2,6,0,2.339996,0
4,3,5,0,3.479996,0
4,2,10,0,0.9799957,0
4,2,7,0,3.079994,0
4,4,2,2,6.400002,0
4,4,0,7,7.739998,0
4,4,1,5,7.239998,0
4,4,7,0,4.279999,0
4,4,3,3,6.599998,0
4,4,5,0,6,0
4,2,9,5,4.18,0
4,3,6,6,5.919998,0
4,4,10,3,4.459999,0
4,2,1,12,9.040001,0
4,2,11,5,4.439995,0
4,1,5,3,8.079994,0
4,3,9,9,6.360001,0
4,2,8,7,7.220001,0
4,2,0,14,11.7,0
4,1,0,3,12.42,0
4,3,4,7,11.42001,0
4,2,5,10,11.07999,0
4,1,6,0,10.8,0
4,1,10,3,9.659996,0
4,2,4,12,13.12,0
4,1,3,6,13.96,0
4,4,8,10,11.78001,0
4,3,10,3,11.02,0
4,1,1,9,17.18,0
4,4,11,5,13.74,0
4,3,7,15,17.67999,0
4,1,2,3,20.8,0
4,1,8,8,17.86001,0
4,1,11,0,16.35999,0
4,4,6,8,21.31999,0
4,1,4,8,22.92,0
4,3,8,13,21.42001,0
4,3,0,25,27.52,0
4,1,9,19,23.1,0
4,4,9,15,24.00001,0
4,3,1,13,33.1,0
4,1,7,9,31.7,0
4,3,11,8,31.41999,0
4,4,4,7,36.04001,0
5,2,3,0,1.699997,0
5,3,1,0,3.220001,0
5,3,4,0,2.660004,0
5,2,4,0,3.220001,0
5,2,5,0,2.860001,0
5,4,3,4,4.199997,0
5,4,5,1,3.460007,0
5,1,6,4,4.660004,0
5,2,10,2,3.76001,0
5,3,7,4,5.539993,0
5,4,9,7,5.059998,0
5,4,6,4,6.839996,0
5,4,10,0,5.76001,0
5,1,11,5,5.279999,0
5,1,1,22,13.74001,0
5,3,11,0,9.860001,0
5,1,0,10,15.60001,0
5,3,8,12,13.81999,0
5,1,4,9,16.14,0
5,2,6,23,16.34,0
5,2,11,14,14.42001,0
5,1,8,3,16.79999,0
5,4,4,11,19.18001,0
5,4,11,15,16.48001,0
5,1,2,15,22.36,0
5,1,10,15,18.56001,0
5,3,5,20,22.28,0
5,4,8,8,20.94,0
5,4,7,8,21.72,0
5,2,7,10,22.31999,0
5,1,5,7,26.25999,0
5,1,9,16,25.01999,0
5,3,9,9,25.06,0
5,3,2,14,29.32001,0
5,3,3,20,28.94,0
5,1,3,24,29.72,0
5,3,6,26,28.52,0
5,4,1,25,32.14,0
5,2,9,20,29.17999,0
5,2,0,32,34.18001,0
5,3,10,17,29.8,0
5,3,0,27,34.86,0
5,1,7,13,31.42,0
5,2,2,26,35.60001,0
5,2,1,30,37.38,0
5,4,0,32,38.76001,0
5,2,8,17,35.39999,0
5,4,2,34,38.94,1
6,2,0,0,2.5,0
6,3,2,0,3.220001,0
6,2,4,0,2.180008,0
6,4,3,0,3.440002,0
6,3,6,0,2.240005,0
6,4,0,8,5.800003,0
6,1,8,0,2.039993,0
6,1,6,0,3.460007,0
6,4,4,6,4.660004,0
6,1,7,0,3.740005,0
6,3,9,0,3.300003,0
6,2,5,10,5.559998,0
6,1,10,0,3.419998,0
6,2,9,4,4.259995,0
6,2,1,10,8.599991,0
6,4,5,4,6.880005,0
6,4,7,1,6.240005,0
6,4,10,6,4.959991,0
6,3,5,7,7.820007,0
6,2,11,5,5.940002,0
6,2,8,8,7.639999,0
6,1,0,0,11.78,0
6,3,0,6,11.95999,0
6,4,11,4,7,0
6,1,9,0,8.220001,0
6,1,11,2,7.339996,0
6,2,7,8,10.56,0
6,2,6,5,11.08,0
6,3,3,0,12.64,0
6,4,2,9,13.8,0
6,1,1,8,15.09999,0
6,3,1,6,15.42,0
6,3,8,7,12.24001,0
6,1,5,1,14.24001,0
6,4,9,8,13.48,0
6,3,10,0,16.5,0
6,2,10,9,17.98,0
6,1,4,13,22.26001,0
6,1,3,20,23.78001,0
6,4,8,10,22.16,0
6,3,7,17,23.25999,0
6,4,1,39,27.39999,0
6,4,6,12,27.94,0
6,2,2,21,32.23999,0
6,3,11,20,28.34,0
6,3,4,26,32.72,0
6,2,3,21,33.98001,0
6,1,2,41,43.89999,1
7,1,2,0,1.76001,0
7,4,1,0,3.139999,0
7,1,0,0,4.519989,0
7,3,3,2,3.360001,0
7,3,2,2,4.240005,0
7,4,7,0,1.940002,0
7,3,6,0,3.080002,0
7,3,1,5,5.720001,0
7,3,4,0,4.380005,0
7,4,0,3,6.599991,0
7,2,2,5,5.940002,0
7,2,1,5,7.300003,0
7,4,2,5,7.040009,0
7,2,9,2,3.779999,0
7,2,6,10,5.599991,0
7,4,3,6,7.440002,0
7,4,6,0,6.199997,0
7,2,10,5,4.419998,0
7,4,11,4,4.440002,0
7,4,5,9,8.100006,0
7,2,0,4,10.64,0
7,4,8,1,7.460007,0
7,3,0,16,12.85999,0
7,3,8,0,8.980011,0
7,2,4,6,11.18001,0
7,2,8,6,10.18001,0
7,2,7,3,10.74001,0
7,1,9,0,10.44,0
7,3,5,14,12.52,0
7,4,9,2,11.34,0
7,1,5,6,14.3,0
7,3,10,6,12.34,0
7,1,4,10,16.42,0
7,1,11,3,13.12,0
7,1,3,20,19.03999,0
7,3,9,6,16.73999,0
7,1,7,24,18.03999,0
7,2,5,10,20.44,0
7,4,4,13,21.14,0
7,3,7,16,21.08,0
7,1,1,15,24.46001,0
7,3,11,3,20.75999,0
7,1,8,23,23.28001,0
7,1,6,14,26.18001,0
7,2,3,14,28.2,0
7,4,10,11,25.65999,0
7,2,11,21,29.53999,0
7,1,10,16,33.7,0
8,4,1,0,0.3800049,0
8,1,0,0,3.320007,0
8,3,0,0,3.459991,0
8,1,1,0,3.040009,0
8,1,7,0,0.2999878,0
8,4,0,4,4.359985,0
8,1,2,4,4.180023,0
8,2,8,0,1.360016,0
8,4,2,4,4.940002,0
8,2,11,0,1.02002,0
8,3,6,3,4.359985,0
8,1,5,0,5.119995,0
8,2,1,0,7.5,0
8,1,3,0,7.76001,0
8,1,9,4,5.160004,0
8,3,3,3,9,0
8,3,10,0,5.859985,0
8,4,7,9,8.440002,0
8,2,7,9,8.640015,0
8,1,11,2,7.119995,0
8,4,9,4,8.279999,0
8,4,8,8,9.320007,0
8,1,4,5,11.5,0
8,3,5,0,10.97998,0
8,2,10,4,9.040009,0
8,3,1,8,14.12003,0
8,1,10,0,10.16,0
8,4,10,0,10.44,0
8,1,8,8,12.06003,0
8,3,7,5,12.98001,0
8,3,8,5,13.48001,0
8,3,2,10,16.90002,0
8,3,11,8,12.92001,0
8,4,6,15,16.03998,0
8,2,0,12,19.66,0
8,3,4,11,17.78,0
8,4,4,20,18.5,0
8,2,6,0,17.56,0
8,1,6,10,19.67999,0
8,2,5,13,23.29999,0
8,2,2,25,28.88,0
8,3,9,8,25.63998,0
8,4,11,8,24.95999,0
8,4,3,26,30.24002,0
8,2,9,35,28.45999,0
8,2,4,21,33.22,0
8,2,3,27,34.40002,0
8,4,5,12,34.67999,0
9,3,0,0,2.940002,0
9,3,7,0,1.26001,0
9,3,6,0,1.799988,0
9,2,1,0,4.380005,0
9,1,4,0,2.860016,0
9,3,10,0,0.2399902,0
9,4,9,0,1.019989,0
9,4,0,3,6.579987,0
9,4,2,0,6.040009,0
9,2,7,4,4.180023,0
9,4,4,3,6.619995,0
9,2,8,0,5.540009,0
9,4,8,0,5.779999,0
9,4,5,6,7.339996,0
9,3,4,2,8.779999,0
9,2,3,7,9.740021,0
9,2,6,2,8.5,0
9,1,11,0,6.319977,0
9,3,5,8,9.97998,0
9,4,6,10,9.76001,0
9,3,3,3,12,0
9,1,2,0,12.80002,0
9,3,2,8,14.20001,0
9,2,9,5,11.01999,0
9,2,4,8,13.70001,0
9,1,9,6,11.62,0
9,4,11,3,10.85999,0
9,1,10,9,11.45999,0
9,1,5,12,15.95999,0
9,3,9,8,14.22,0
9,1,0,11,20.84,0
9,2,0,20,22.12,0
9,1,1,34,21.79999,0
9,3,11,6,18.41998,0
9,1,6,13,21.67999,0
9,1,7,16,21.64001,0
9,2,11,9,22.88,0
9,3,8,14,25.54001,0
9,3,1,13,30.39999,0
9,4,7,19,27.34,0
9,2,5,19,29.06,0
9,4,1,13,32.06,0
9,2,10,17,28.17999,0
9,1,8,17,30.76001,0
9,4,3,17,35,0
9,4,10,23,36.25998,0
9,2,2,21,40.74002,1
9,1,3,26,45.20001,1
10,1,3,0,0.1199951,0
10,1,4,0,0.01998901,0
10,2,0,0,3.100006,0
10,1,2,0,2.199982,0
10,2,1,1,3.47998,0
10,1,0,4,4.300018,0
10,3,1,5,4.059998,0
10,4,0,0,5.920013,0
10,3,7,0,2.740021,0
10,2,4,0,4.700012,0
10,4,3,0,6.100006,0
10,3,9,0,3.319977,0
