Wave,Spawnpoint,Bot Number,Damage Dealt,Time Alive,Escaped
1,2,2,0,1.92,0
1,2,0,0,3.14,0
1,3,1,0,2.84,0
1,1,3,0,2.18,0
1,3,6,0,1.12,0
1,1,8,0,1.42,0
1,4,4,2,3.48,0
1,2,5,0,3.18,0
1,3,4,0,4.44,0
1,1,1,10,6.08,0
1,4,6,2,3.72,0
1,3,7,3,3.7,0
1,4,0,0,8.78,0
1,3,2,4,8.039999,0
1,2,4,17,7.24,0
1,1,0,12,10.08,0
1,3,8,3,6.66,0
1,4,5,9,8.679999,0
1,2,8,6,7.52,0
1,3,0,5,11.64,0
1,2,6,9,9.099999,0
1,3,9,2,7.559999,0
1,1,4,0,10.18,0
1,3,3,8,12.98,0
1,4,7,0,11.1,0
1,4,2,19,13.98,0
1,4,8,7,12.8,0
1,1,7,17,14.04,0
1,2,7,11,14.84,0
1,1,2,2,20.48,0
1,2,9,15,19.3,0
1,4,9,13,19.76,0
1,4,1,6,24.08,0
1,1,6,6,21.88,0
1,1,5,24,24.12,0
1,4,3,23,27.74,0
1,1,9,9,26.04,0
1,3,5,9,30.32,0
1,2,3,9,31.34,0
1,2,1,9,33.66,0
2,3,0,0,2.619999,0
2,3,1,0,2.219997,0
2,2,5,0,0.8800011,0
2,3,4,0,1.559998,0
2,2,4,0,2.179996,0
2,3,2,0,3.739998,0
2,4,7,0,1.720001,0
2,1,2,0,4.279999,0
2,4,5,0,3.780003,0
2,4,6,0,3.32,0
2,4,2,5,5.759998,0
2,2,8,0,2.98,0
2,3,5,7,4.700001,0
2,1,0,1,7.5,0
2,3,8,5,4.260002,0
2,1,1,0,8.219997,0
2,4,9,0,4.639999,0
2,2,2,6,9.239998,0
2,4,3,0,9.179996,0
2,2,7,5,7.860001,0
2,2,6,4,8.66,0
2,4,0,0,12.5,0
2,1,7,1,9.540001,0
2,2,9,5,8.84,0
2,2,0,0,13.98,0
2,4,8,2,11.1,0
2,4,1,12,14.78,0
2,3,9,17,11.7,0
2,3,3,5,14.86,0
2,2,3,4,15.24,0
2,2,1,3,16.68,0
2,1,9,0,14.26,0
2,1,5,11,16.66,0
2,1,8,16,16.46,0
2,1,3,19,21.62,0
2,4,4,16,21.46,0
2,3,7,22,20.5,0
2,1,4,9,22.7,0
2,1,6,8,21.74,0
2,3,6,0,22.44,0
3,4,0,0,0.02000046,0
3,2,0,0,2.460003,0
3,3,2,0,2.52,0
3,2,1,0,3.560001,0
3,4,2,0,3.119999,0
3,3,6,0,1.279999,0
3,4,1,0,4.119999,0
3,1,7,0,2.199997,0
3,2,5,0,3.340004,0
3,2,2,0,5.219997,0
3,4,4,6,4.699997,0
3,3,9,0,2.800003,0
3,1,8,2,3.719994,0
3,1,0,8,8.260002,0
3,4,9,0,4.519997,0
3,4,5,0,6.82,0
3,3,7,5,5.979996,0
3,3,5,0,8.440002,0
3,2,6,0,8.359993,0
3,3,3,0,10,0
3,3,4,0,10.08,0
3,2,9,1,9.400002,0
3,3,8,7,9.919998,0
3,4,8,4,10.21999,0
3,2,7,1,10.93999,0
3,4,3,7,13.22,0
3,1,2,5,14.66,0
3,2,4,7,14.32,0
3,1,6,7,14.14,0
3,1,5,2,15.54,0
3,4,6,21,15.62,0
3,3,1,3,18.88,0
3,2,3,10,18.66,0
3,1,9,9,17.96,0
3,4,7,5,19.56,0
3,1,3,7,22.72,0
3,3,0,7,24.72,0
3,1,1,25,25.5,0
3,1,4,23,33.16,0
3,2,8,16,33.78,0
4,4,1,0,2.32,0
4,1,0,0,3.039993,0
4,2,0,0,4.68,0
4,1,4,0,2.799995,0
4,4,2,3,4.300003,0
4,2,6,0,2.32,0
4,1,2,3,4.82,0
4,3,5,3,3.959999,0
4,1,7,0,3.479996,0
4,4,0,0,8.099998,0
