Wave,Spawnpoint,Bot Number,Damage Dealt,Time Alive,Escaped
1,3,0,0,3.3,0
1,3,2,0,2.68,0
1,3,1,2,3.58,0
1,4,0,5,4.38,0
1,3,6,0,2.32,0
1,2,4,2,3.5,0
1,1,5,0,3.46,0
1,4,3,6,4.86,0
1,1,4,8,5.08,0
1,4,2,2,6.26,0
1,2,8,0,3.32,0
1,1,6,2,4.679999,0
1,4,4,3,7,0
1,2,7,0,5.8,0
1,3,4,0,7.9,0
1,2,5,0,7.44,0
1,2,1,0,9.639999,0
1,3,5,8,9.139999,0
1,1,8,5,8.299999,0
1,1,2,10,12.2,0
1,3,8,4,9.66,0
1,4,8,3,9.74,0
1,3,7,4,10.52,0
1,1,1,20,14.48,0
1,2,6,6,13.32,0
1,2,2,4,15.4,0
1,4,6,0,14.42,0
1,3,9,6,13.34,0
1,2,3,16,16.86,0
1,4,1,12,19.2,0
1,4,7,18,16.92,0
1,1,9,14,18.06,0
1,1,7,12,19.2,0
1,1,0,23,24.42,0
1,3,3,12,24.02,0
1,4,5,16,24.18,0
1,2,0,12,27.42,0
1,1,3,20,26.62,0
1,2,9,10,27.12,0
1,4,9,13,30.3,0
2,2,0,0,0.2799988,0
2,2,1,0,1.899998,0
2,3,1,0,2.239998,0
2,1,0,0,3.200001,0
2,2,2,0,2.68,0
2,1,3,0,2.700001,0
2,2,7,0,1.039997,0
2,4,2,2,3.739998,0
2,1,1,7,4.799999,0
2,1,7,0,2.32,0
2,3,3,0,4.579998,0
2,3,5,0,4.439999,0
2,4,6,5,4.360001,0
2,4,8,3,3.899998,0
2,4,3,7,7.059998,0
2,1,11,0,3.299999,0
2,4,5,6,6.939999,0
2,4,4,11,7.700001,0
2,4,11,4,4.82,0
2,3,2,0,9.599998,0
2,2,4,3,9.119999,0
2,3,4,0,9.559998,0
2,3,6,0,9.139999,0
2,4,9,4,7.679996,0
2,1,2,0,13.94,0
2,4,0,17,15.5,0
2,1,10,0,10.92,0
2,2,6,4,13.26,0
2,3,10,7,11.78,0
2,4,1,14,16.62,0
2,1,5,6,15.38,0
2,1,6,16,15.96,0
2,1,4,9,18.16,0
2,4,10,12,17.36,0
2,2,11,20,18.02,0
2,3,0,13,24.1,0
2,4,7,21,21.1,0
2,3,11,9,19.32,0
2,2,8,21,22.38,0
2,3,9,5,21.96,0
2,2,9,15,23.7,0
2,1,9,20,26.68,0
2,3,7,16,27.98,0
2,1,8,22,28.78,0
2,2,3,16,34.44,0
2,2,10,4,31.57999,0
2,2,5,28,35.72,0
2,3,8,24,36.64,0
3,1,1,1,3.379997,0
3,2,0,2,4.68,0
3,4,1,3,4.18,0
3,1,2,5,4.279999,0
3,2,1,0,5.059998,0
3,4,2,0,5.459999,0
3,1,6,0,4.199997,0
3,1,4,0,5.239998,0
3,2,10,0,2.940002,0
3,3,6,0,5.040001,0
3,3,8,0,4.660004,0
3,2,6,0,7.220001,0
3,1,3,0,8.779999,0
3,4,5,5,7.939995,0
3,1,0,0,10.5,0
3,4,7,9,7.439995,0
3,4,9,7,6.720001,0
3,2,5,4,9.339996,0
3,2,11,0,6.959999,0
3,4,10,4,7.639999,0
3,1,9,0,8.959999,0
3,3,5,8,11.52,0
3,4,4,13,13.12,0
3,3,7,6,11.72,0
3,3,11,6,10.94,0
3,1,10,5,12.66,0
3,1,7,13,15.46,0
3,4,0,17,19.8,0
3,3,0,15,20.93999,0
3,2,9,16,17.02,0
3,4,11,11,16.3,0
3,1,8,8,17.84,0
3,1,5,6,20.32,0
3,3,2,9,22.12,0
3,4,6,22,20.32,0
3,3,3,6,22.68,0
3,3,1,3,24.2,0
3,2,7,19,21.32,0
3,3,10,5,20.48,0
3,3,4,17,24.28,0
3,3,9,16,22.06,0
3,2,2,5,26.28,0
3,1,11,6,23.3,0
3,2,4,12,27.68,0
3,4,3,17,30.25999,0
3,4,8,26,28.8,0
3,2,3,4,32.36,0
3,2,8,33,30.6,0
4,2,3,0,1.540001,0
