Wave,Spawnpoint,Bot Number,Damage Dealt,Time Alive,Escaped
1,2,0,0,2.64,0
1,3,0,0,3.2,0
1,4,0,0,4.06,0
1,2,7,0,0.9400001,0
1,1,3,0,3.46,0
1,2,2,4,4.2,0
1,2,5,0,3.1,0
1,2,4,1,3.72,0
1,1,0,5,6.24,0
1,1,5,4,4.22,0
1,2,8,0,3.26,0
1,4,4,6,5.74,0
1,1,8,3,3.98,0
1,4,7,3,5.099999,0
1,4,9,6,4.599999,0
1,1,9,3,5.599999,0
1,4,3,11,8.8,0
1,4,1,19,10.54,0
1,3,4,0,9.52,0
1,1,4,0,9.86,0
1,4,6,0,9.599999,0
1,3,2,3,12.12,0
1,1,7,0,10.08,0
1,2,3,3,12.42,0
1,1,1,5,14.5,0
1,1,6,11,12.06,0
1,3,6,4,13.08,0
1,3,5,11,13.7,0
1,2,9,12,12.08,0
1,3,7,9,13.12,0
1,3,1,4,16.5,0
1,3,8,5,13.84,0
1,3,3,19,18.38,0
1,3,9,5,15.88,0
1,4,2,5,21.74,0
1,4,8,4,20.3,0
1,2,6,19,21.86,0
1,2,1,13,24.4,0
1,1,2,11,29.6,0
1,4,5,9,34.58,0
2,4,0,0,2.880001,0
2,1,4,0,0.9600029,0
2,3,1,0,2.860001,0
2,1,3,0,3.080002,0
2,1,1,5,4.280003,0
2,1,7,0,1.400002,0
2,3,4,0,3.400002,0
2,2,2,0,4.600002,0
2,4,4,5,4.260002,0
2,2,3,0,4.959999,0
2,3,3,2,5.02,0
2,1,0,0,6.560001,0
2,3,2,0,6.560001,0
2,4,3,0,6.5,0
2,2,5,9,5.52,0
2,2,9,0,4.139999,0
2,3,8,2,4.740002,0
2,3,6,2,7.540001,0
2,2,0,4,11.74,0
2,3,0,3,12.1,0
2,3,7,6,8.82,0
2,4,6,3,9.84,0
2,1,6,5,10.82,0
2,1,9,0,10,0
2,4,5,9,12.28,0
2,3,9,7,11.18,0
2,1,2,2,14.86,0
2,4,7,16,12.68,0
2,2,8,3,14.36,0
2,4,2,4,18.08,0
2,1,8,10,15.14,0
2,1,5,11,19.94,0
2,2,1,2,22.06,0
2,2,4,11,21.18,0
2,4,1,8,23.12,0
2,2,6,7,23.78,0
2,2,7,7,25.56,0
2,4,9,8,24.76,0
2,3,5,12,29.8,0
2,4,8,8,29.1,0
3,2,0,0,3.120003,0
3,2,3,0,1.880005,0
3,2,5,0,1.419998,0
3,1,0,0,4.099998,0
3,1,2,0,3.440002,0
3,4,1,4,3.959999,0
3,4,3,0,3.260002,0
3,3,1,3,4.720001,0
3,4,5,0,3.099998,0
3,1,3,5,4.480003,0
3,1,7,1,3.279999,0
3,1,8,0,2.839996,0
3,4,0,0,7.459999,0
3,2,6,5,4.620003,0
3,1,1,0,7.480003,0
3,3,5,2,5.739998,0
3,4,9,0,4.339996,0
3,2,9,0,5.079994,0
3,1,9,0,5.199997,0
3,4,4,0,7.720001,0
3,3,9,2,6.039993,0
3,2,7,0,7.459999,0
3,4,7,6,7.580002,0
3,2,8,7,7.279999,0
3,2,2,6,10.8,0
3,1,4,8,10.1,0
3,3,8,2,8.539993,0
3,2,4,24,11.32,0
3,4,2,3,12.98,0
3,3,3,10,12.94,0
3,4,6,7,13.1,0
3,3,2,11,15.9,0
3,3,0,5,19.12,0
3,1,5,7,16.84,0
3,1,6,0,16.94,0
3,2,1,15,19.62,0
3,3,4,0,19.68,0
3,3,6,6,20.2,0
3,4,8,7,20.52,0
3,3,7,0,24.94,0
4,2,0,0,0.5800018,0
4,4,2,0,1.599998,0
4,3,1,0,3.32,0
4,3,7,0,1.479996,0
4,4,1,2,4.799995,0
4,3,4,2,3.559998,0
4,4,4,2,3.559998,0
4,4,7,0,3.18,0
4,1,2,9,8.720001,0
4,3,2,8,8.839996,0
4,2,3,11,8.879997,0
4,1,8,4,6.879997,0
4,2,1,0,11.18,0
4,3,0,0,12,0
4,3,8,13,8.299995,0
4,2,8,3,8.939995,0
4,4,0,0,13.02,0
4,1,1,2,12.88,0
4,3,9,12,9.659996,0
4,4,6,11,11.4,0
4,4,8,5,10.92,0
4,4,3,7,13.46,0
4,2,4,9,13.43999,0
4,1,3,9,14.4,0
4,2,5,12,14.2,0
4,3,6,2,14.24,0
4,3,3,7,15.74,0
4,2,7,5,14.7,0
4,1,0,8,18.7,0
4,2,6,6,16.78,0
4,3,5,5,18.98,0
4,1,6,6,19.07999,0
4,1,4,2,20.24,0
4,4,9,20,18.72,0
4,4,5,4,21.25999,0
4,1,9,8,20.57999,0
4,1,7,10,22.82,0
4,2,9,9,22.57999,0
4,1,5,9,25.03999,0
4,2,2,0,29.22,0
5,4,1,0,2.919998,0
5,4,4,0,2.220001,0
5,3,1,3,3.940002,0
5,2,2,0,3.559998,0
5,3,2,2,3.699997,0
5,3,3,1,3.419998,0
5,2,1,8,4.919998,0
5,1,3,2,4.419998,0
5,2,4,0,4.73999,0
5,4,0,4,6.940002,0
5,4,8,0,2.920013,0
5,1,7,0,3.459991,0
5,1,5,7,4.940002,0
5,2,3,0,6.5,0
5,1,9,0,4.100006,0
5,2,6,6,5.959991,0
5,3,8,3,5.460007,0
5,3,0,8,10.34,0
5,1,8,4,6.940002,0
5,3,5,8,9.019989,0
