Wave,Spawnpoint,Bot Number,Damage Dealt,Time Alive,Escaped
1,3,4,6,4.64,0
1,3,6,0,4.7,0
1,4,8,0,7.159999,0
1,3,3,7,10.16,0
1,1,7,3,8.6,0
1,3,0,3,13.26,0
1,1,1,13,13.28,0
1,1,4,5,12.56,0
1,4,9,0,10.28,0
1,2,8,5,11.82,0
1,2,5,13,14.54,0
1,2,6,12,15.02,0
1,2,0,10,19.14,0
1,4,3,4,18.96,0
1,1,9,5,16.24,0
1,2,1,12,21.04,0
1,3,1,15,21.4,0
1,2,9,15,18.08,0
1,2,7,13,20,0
1,1,6,12,20.72,0
1,3,9,5,19.36,0
1,3,7,12,20.92,0
1,4,5,26,22.26,0
1,2,3,3,24.38,0
1,2,2,7,25.14,0
1,1,0,35,26.36,0
1,3,2,8,25.86,0
1,1,5,13,24.66,0
1,1,2,20,26.36,0
1,4,4,35,25.9,0
1,3,8,19,27.42,0
1,4,0,25,32.26,0
1,4,6,18,29.8,0
1,3,5,25,31.18,0
1,2,4,20,34,0
1,4,2,33,39.74,1
1,4,7,27,38.76,0
1,1,8,20,40.44,0
1,4,1,31,44.78,1
1,1,3,40,48.44,1
2,3,3,0,2.579998,0
2,2,4,0,2.959999,0
2,1,5,0,3.040001,0
2,3,8,0,1.700001,0
2,1,0,4,6.040001,0
2,2,3,0,5.059998,0
2,4,7,0,3.360001,0
2,4,9,0,2.720001,0
2,3,0,5,7.540001,0
2,4,6,5,4.480003,0
2,3,7,4,4.300003,0
2,3,2,3,7.039997,0
2,2,6,3,5.260002,0
2,1,4,0,7.059998,0
2,1,9,0,5.460003,0
2,2,1,9,9.719997,0
2,3,6,8,8.34,0
2,4,2,14,11.06,0
2,2,2,6,11.52,0
2,2,8,5,8.740002,0
2,3,5,2,10.56,0
2,2,11,5,8.780003,0
2,4,0,16,15.1,0
2,4,10,7,10.56,0
2,4,11,9,11.28,0
2,1,6,6,14.08,0
2,4,8,22,13.06,0
2,1,3,11,15.64,0
2,1,8,10,13.82,0
2,2,5,7,16.54,0
2,2,10,10,14.5,0
2,2,9,9,15.7,0
2,4,3,15,20.5,0
2,3,10,0,17.14,0
2,3,1,7,22,0
2,1,1,14,25.34,0
2,4,4,13,24.96,0
2,4,1,18,28.7,0
2,1,10,18,25.1,0
2,1,2,20,29.88,0
2,3,4,20,29.58,0
2,1,7,22,29.18,0
2,1,11,24,31.1,0
2,2,7,28,34.32,0
2,4,5,27,38.96,1
2,2,0,20,43.74,0
2,3,11,32,38.4,0
2,3,9,28,42.6,1
3,1,4,0,1.82,0
3,4,2,0,2.879997,0
3,4,5,0,1.800003,0
3,1,2,0,3.340004,0
3,2,0,0,5.399994,0
3,3,0,0,6.339996,0
3,4,3,5,6.119995,0
3,2,5,4,5.440002,0
3,4,0,2,8.5,0
3,3,9,0,3.919998,0
3,4,7,0,5.240005,0
3,4,8,3,4.82,0
3,3,5,1,6.720001,0
3,1,3,0,8.739998,0
3,2,2,4,9.68,0
3,1,0,10,11.34,0
3,4,4,8,10.34,0
3,2,6,7,9.360001,0
3,3,6,0,9.900002,0
3,1,5,5,10.96,0
3,3,11,0,7.940002,0
3,3,10,3,9.839996,0
3,3,8,7,11.62,0
3,3,4,3,13.92,0
3,4,9,19,12.3,0
3,1,7,4,13.62,0
3,1,11,3,12.62,0
3,2,4,10,16.54,0
3,1,6,21,15.56001,0
3,2,10,0,14.3,0
3,4,10,9,14.58,0
3,2,1,10,20.12,0
3,2,11,10,16.58,0
3,1,9,13,18.5,0
3,4,6,10,20.64,0
3,1,1,19,23.46,0
3,1,10,11,19.16,0
3,2,3,9,22.96,0
3,2,7,13,25.96001,0
3,3,1,33,29.24001,0
3,1,8,16,27.24001,0
3,4,11,17,26.50001,0
3,3,2,8,31.58,0
3,3,3,25,37.98,0
3,4,1,33,40.2,1
3,2,8,40,39.74001,0
3,3,7,38,46.52,1
3,2,9,31,47.45999,0
4,1,2,0,3.619995,0
4,2,7,0,1.559998,0
4,2,9,0,0.6999969,0
4,4,7,0,2.320007,0
4,3,8,0,2.479996,0
4,4,9,0,2.159988,0
4,1,3,4,5.300003,0
4,4,3,0,5.800003,0
4,3,0,4,7.400009,0
4,1,1,2,7.199997,0
4,3,1,4,7.400009,0
4,3,6,0,6.180008,0
4,4,2,2,8.639999,0
4,4,6,0,7.279999,0
4,2,2,9,9.740005,0
4,2,5,3,8.199997,0
4,1,11,1,5.720001,0
4,2,3,5,10.03999,0
4,3,2,0,11.32001,0
4,4,8,9,8.600006,0
4,3,10,6,7.919998,0
4,4,10,11,8.519989,0
4,4,11,4,8.919998,0
4,3,5,9,12.07999,0
4,2,0,10,15.56001,0
4,1,5,7,13.53999,0
4,4,4,13,14.09999,0
4,4,1,6,16.66,0
4,2,8,8,13.28,0
4,4,5,8,16.17999,0
4,3,7,8,15.94,0
4,1,9,20,15.06,0
4,1,8,0,16.16,0
4,1,10,17,16.67999,0
4,3,9,7,17.23999,0
4,1,4,18,23.58,0
4,2,1,15,25.66,0
4,3,4,12,24.16,0
4,1,0,29,32.46001,0
4,4,0,30,32.82001,0
4,2,6,18,32.28,0
4,3,3,19,35.23999,1
4,2,4,28,36,0
4,1,6,9,34.96001,0
4,2,10,14,34.44,0
4,3,11,15,34.79999,0
4,1,7,36,41.8,1
4,2,11,27,59.28,1
5,2,1,0,3.060013,0
5,1,2,0,3.559998,0
5,1,3,0,3.080002,0
5,4,3,0,3.680008,0
5,4,4,0,3.479996,0
5,1,6,0,3.259995,0
5,1,0,2,6.800003,0
5,2,2,10,5.779999,0
5,4,1,4,7.139999,0
5,4,9,3,3.940002,0
5,1,11,4,4.779999,0
5,4,11,7,4.779999,0
5,2,3,7,9.199997,0
5,3,2,3,10.40001,0
5,3,10,7,7.199997,0
5,2,10,0,7.460007,0
5,3,7,7,9.100006,0
5,2,8,5,8.880005,0
5,3,5,7,11.45999,0
5,3,8,0,10.12001,0
5,4,0,12,15.92001,0
5,1,10,6,10.89999,0
5,3,1,0,15.74001,0
5,3,6,8,13.62,0
5,4,7,0,13.94,0
5,1,8,15,13.66,0
5,3,11,7,13.02,0
5,2,7,21,17.96001,0
5,3,0,12,21.70001,0
5,1,1,16,21.22,0
5,2,0,10,22.8,0
5,1,4,16,22.42,0
5,4,10,17,22.7,0
5,2,6,6,25.31999,0
5,3,3,17,27.96001,0
5,2,5,11,26.98,0
5,2,4,15,28.38,0
5,1,7,14,27.34001,0
5,4,2,20,30.90001,0
5,1,5,24,29.48,0
5,2,11,21,28.22,0
5,1,9,8,30.90001,0
5,4,8,18,32.18001,0
5,3,4,20,34.28,0
5,2,9,13,37.38,0
5,4,5,27,45.78,1
