Wave,Spawnpoint,Bot Number,Damage Dealt,Time Alive,Escaped
1,2,0,27,36.78,1
1,1,4,23,35.86,1
1,3,1,35,37.76,1
1,2,2,20,38.2,1
1,3,0,39,39.98,1
1,3,6,28,39.68,1
1,3,8,25,38.82,1
1,4,4,49,40.96,1
1,3,3,43,41.7,1
1,2,4,25,41.4,1
1,1,0,11,44.12,1
1,4,0,44,44.12,1
1,2,1,35,43.8,1
1,1,5,36,42.14,1
1,1,1,17,44.96,1
1,4,8,27,41.84,1
1,4,5,31,43.48,1
1,4,3,38,44.62,1
1,2,5,31,44.24,1
1,3,9,28,42.26,1
1,2,8,31,42.98,1
1,4,1,28,46.94,1
1,1,2,28,47.44,1
1,2,3,13,46.98,1
1,2,6,22,45.48,1
1,1,8,59,44.82,1
1,1,9,30,44.48,1
1,3,2,34,48.06,1
1,4,7,25,45.7,1
1,2,9,38,44.96,1
1,4,2,24,49.74,1
1,1,7,12,47.2,1
1,3,5,37,49,1
1,3,4,24,50.2,1
1,4,6,28,50.02,1
1,1,3,25,51.78,1
1,1,6,22,51,1
1,2,7,37,53.28,1
1,3,7,47,56.38,1
1,4,9,12,61.62,1
2,2,4,22,38.6,1
2,2,1,29,40.52,1
2,2,3,28,39.5,1
2,2,5,26,38.48,1
2,2,2,31,41.2,1
2,2,6,46,39.46,1
2,1,1,24,42.25999,1
2,2,7,19,39.2,1
2,4,3,41,41.42,1
2,2,9,27,38.5,1
2,4,1,36,43.96,1
2,4,7,31,41.2,1
2,2,8,27,41.02,1
2,4,2,25,44.42,1
2,1,6,26,43.85999,1
2,4,5,32,44.63999,1
2,4,4,32,45.28,1
2,3,4,43,45.3,1
2,4,8,24,45.7,1
2,1,5,20,47.24,1
2,2,10,30,44.72,1
2,3,1,18,49.56,1
2,4,9,38,45.5,1
2,4,10,26,45.56001,1
2,1,2,26,49.94,1
2,1,8,28,47.06,1
2,1,4,16,49.22,1
2,3,0,40,51.42,1
2,3,5,22,49.71999,1
2,1,0,26,52.28,1
2,4,6,18,49.53999,1
2,3,2,42,52.2,1
2,2,0,34,53.42,1
2,1,7,11,50.36,1
2,1,10,37,49.26,1
2,3,6,28,51.42,1
2,1,3,12,53.18,1
2,3,10,28,49.94,1
2,3,3,19,54.54,1
2,3,8,42,52.34,1
2,3,9,24,52.38,1
2,1,11,25,51.9,1
2,2,11,36,53.9,1
2,3,7,18,57.04,1
2,1,9,6,56.18,1
2,4,0,12,61.92,1
2,3,11,46,56.84,1
2,4,11,10,61.76,1
3,2,10,27,36.5,1
3,2,2,29,41.18001,1
3,2,3,31,41.5,1
3,4,4,41,41.18001,1
3,2,5,19,40.89999,1
3,4,5,29,41.28,1
3,4,6,41,40.89999,1
3,1,2,22,43.34001,1
3,2,7,36,41.23999,1
3,2,8,32,40.84,1
3,2,6,44,42.03999,1
3,2,4,22,44.12,1
3,4,2,35,45.34001,1
3,4,3,23,45.68001,1
3,3,5,40,44.75999,1
3,4,8,27,43.78,1
3,3,10,28,42.98,1
3,2,9,39,43.92,1
3,2,11,24,43.06,1
3,1,3,29,47.64,1
3,1,6,26,46.3,1
3,4,9,24,44.93999,1
3,1,8,12,45.71999,1
3,2,1,26,49.38,1
3,4,10,34,45.06,1
3,3,7,26,47.28,1
3,1,7,24,47.5,1
3,2,0,35,51.48,1
3,3,0,43,51.65999,1
3,4,7,6,48.31999,1
3,1,9,28,47.43999,1
3,3,4,23,50.2,1
3,3,1,40,52.14,1
3,1,5,22,50.28,1
3,4,1,10,52.52,1
3,3,3,42,51.60001,1
3,4,11,22,48.12001,1
3,3,2,23,53.12001,1
3,3,9,35,50.78,1
3,1,0,6,55.93999,1
3,3,6,24,53.17999,1
3,1,1,25,55.82001,1
3,3,11,35,50.94,1
3,1,4,16,56.84,1
3,1,11,31,53.98,1
3,1,10,15,56.46001,1
3,4,0,12,61.98,1
3,3,8,23,58.93999,1
4,4,3,38,37.10001,1
4,3,2,49,41.28,1
4,4,5,43,39.86,1
4,2,3,25,42.84,1
4,4,4,23,42.44,1
4,1,3,21,43.60001,1
4,2,11,26,39.52,1
4,1,1,22,45.16,1
4,2,4,35,43.94,1
4,2,6,26,43.36,1
4,2,9,33,42.06,1
4,2,5,20,44.09999,1
4,4,11,39,41.46001,1
4,1,9,6,42.93999,1
4,2,10,25,42.5,1
4,4,7,30,44.25999,1
4,2,8,40,43.84,1
4,4,9,23,43.64,1
4,3,11,28,43.03999,1
4,2,2,29,48,1
4,4,6,29,46,1
4,3,5,17,46.58,1
4,2,7,48,45.64,1
4,4,10,18,44.28,1
4,1,4,31,47.7,1
4,2,1,20,49.36,1
4,4,2,10,49.02,1
4,3,8,29,46.03999,1
4,3,6,46,47.44,1
4,3,1,27,50.72,1
4,1,8,24,47.75999,1
4,1,10,35,48.28,1
4,2,0,35,53.48,1
4,3,4,43,51.53999,1
4,3,10,24,48.60001,1
4,3,7,22,50.64,1
4,1,2,22,54.16,1
4,1,7,33,51.64,1
4,3,3,22,54.22,1
4,4,1,14,55.60001,1
4,1,0,16,56.23999,1
4,4,8,9,52.31999,1
4,1,11,13,51.3,1
4,1,6,4,54.64,1
4,3,0,24,58.87999,1
4,1,5,13,57.05998,1
4,4,0,12,61.83998,1
4,3,9,23,58.75998,1
5,4,4,35,36.03998,1
5,1,10,10,38.08002,1
5,1,2,18,42.16,1
5,2,4,31,42.17999,1
5,4,6,48,41.94,1
5,3,7,42,41.60001,1
5,1,4,18,44.23999,1
5,4,3,16,45.29999,1
5,2,11,25,41.28,1
5,4,5,28,44.81998,1
5,2,9,35,42.84,1
5,2,10,37,42.38,1
5,3,2,29,46.86002,1
5,4,10,23,43.10001,1
5,4,11,13,42.72,1
5,1,5,32,46.15997,1
5,3,3,47,47.56,1
5,4,7,30,45.60001,1
5,2,2,30,48.20001,1
5,1,8,24,45.17999,1
5,2,8,41,45.60001,1
5,4,8,35,45.67999,1
5,2,3,32,48.35999,1
5,1,7,14,46.39999,1
5,2,7,38,46.41998,1
5,2,5,22,47.59998,1
5,2,6,22,47.73999,1
5,3,6,18,47.84,1
5,4,2,27,50,1
5,3,4,24,49.59998,1
5,3,11,21,46.72,1
5,1,9,25,47.89999,1
5,1,11,36,47.25998,1
5,2,0,36,53.25998,1
5,3,5,31,51.69998,1
5,3,9,26,49.86002,1
5,3,1,15,54,1
5,1,1,20,54.28,1
5,2,1,30,54.92001,1
5,4,9,9,52.22,1
5,1,0,13,57.06,1
5,3,10,21,52.76001,1
5,3,8,8,54.22,1
5,1,6,16,55.32001,1
5,3,0,25,58.78,1
5,1,3,30,59.97998,1
5,4,0,11,61.69998,1
5,4,1,21,62.5,1
Wave,Spawnpoint,Bot Number,Damage Dealt,Time Alive,Escaped
1,2,6,33,36.34,1
1,2,0,36,39.76,1
1,4,6,40,37.32,1
1,4,1,14,42.36,1
1,1,6,33,40.86,1
1,2,1,29,43.48,1
1,3,1,32,43.92,1
1,3,9,11,40.24,1
1,1,1,31,44.98,1
1,2,5,44,43.34,1
1,3,3,37,44.74,1
1,4,9,19,41.78,1
1,3,4,23,44.36,1
1,1,7,31,42.86,1
1,3,5,26,44.68,1
1,1,9,37,42.74,1
1,2,4,23,46.12,1
1,1,2,19,47.2,1
1,4,0,30,48.56,1
1,2,3,6,47.12,1
1,4,2,30,47.72,1
1,2,2,32,47.84,1
1,3,8,49,44.9,1
1,3,0,16,49.02,1
1,1,5,60,46.88,1
1,3,2,22,48.62,1
1,2,7,40,46.66,1
1,1,4,32,48.2,1
1,1,8,28,46.8,1
1,4,7,18,47.88,1
1,4,3,38,50.12,1
1,4,4,4,50.48,1
1,4,5,35,50.32,1
1,1,0,37,53.6,1
1,2,9,27,49.48,1
1,1,3,26,52.84,1
1,3,7,18,50.84,1
1,2,8,38,50.88,1
1,4,8,20,51.22,1
1,3,6,35,54.2,1
