Wave,Spawnpoint,Bot Number,Damage Dealt,Time Alive
1,2,0,0,2.64
1,2,1,0,3.14
1,2,4,0,1.7
1,2,3,0,2.86
1,3,2,3,3.58
1,3,1,3,5.66
1,1,4,4,4.3
1,4,3,6,5.08
1,4,4,5,4.56
1,2,5,0,5.1
1,2,9,0,3.26
1,3,5,4,5.64
1,4,7,0,5.079999
1,3,3,8,7.16
1,3,4,13,6.64
1,1,5,1,6.46
1,4,9,5,4.639999
1,4,0,11,9.5
1,3,8,6,5.42
1,3,6,12,6.44
1,2,7,10,6.74
1,1,1,15,10.28
1,2,2,6,9.76
1,4,1,2,10.32
1,2,6,5,8.24
1,1,6,3,8.959999
1,2,8,16,8.3
1,1,0,4,12.92
1,3,0,2,14.24
1,4,8,3,12.54
1,4,2,5,15.78
1,1,9,6,13.28
1,4,5,5,15.82
1,1,2,8,18.16
1,1,8,7,15.6
1,1,7,3,16.92
1,3,9,10,16.48
1,3,7,7,20.06
1,1,3,4,23.12
1,4,6,0,22.9
2,2,0,0,2.92
2,1,4,0,1.300001
2,3,0,0,3.619999
2,2,6,0,1.039999
2,2,1,0,4.459999
2,4,4,0,3.059999
2,1,3,5,4.280001
2,3,7,0,3.159998
2,4,2,10,5.820002
2,4,0,4,7.16
2,2,3,0,6.019999
2,2,2,6,6.6
2,1,0,10,8.959999
2,4,3,4,7.4
2,3,5,4,6.4
2,2,9,0,4.659998
2,2,4,0,7.379999
2,4,5,4,7.4
2,1,6,7,7.159998
2,1,1,0,10.18
2,2,5,7,8.199999
2,3,2,7,9.719999
2,4,8,4,8.74
2,3,3,6,11.28
2,1,7,12,10.66
2,3,8,0,10.72
2,3,1,0,14.32
2,1,8,10,12.14
2,1,5,7,16.04
2,4,9,5,14.36
2,3,6,4,17.06
2,2,8,7,16.86
2,1,9,11,16.74
2,4,1,2,21.1
2,4,6,8,19.14
2,1,2,1,21.22
2,2,7,1,19.22
2,3,9,0,20.18
2,1,4,0,23.02
2,4,7,1,21.98
3,1,0,0,1.040001
3,1,2,0,0.7600021
3,1,1,0,1.380001
3,4,1,0,2.959999
3,4,0,0,3.52
3,2,4,0,1.579998
3,1,5,0,1.079998
3,3,1,5,4.040001
3,3,0,5,4.540001
3,4,2,0,3.799999
3,4,6,0,2.099998
3,4,7,0,2.239998
3,3,3,5,4.34
3,3,6,0,2.98
3,1,4,0,4.079998
3,4,8,0,2.719997
3,1,6,4,3.779999
3,3,2,4,6.599998
3,1,3,2,7.66
3,2,2,11,8.68
3,2,6,2,8.219997
3,2,5,0,8.839996
3,1,9,4,7.5
3,3,8,8,9.019997
3,4,3,3,12.02
3,2,3,12,12.08
3,2,1,8,15.2
3,2,0,11,15.7
3,3,4,9,14.2
3,3,9,3,12.1
3,3,7,0,14.25999
3,3,5,14,15.5
3,2,8,9,15.08
3,2,7,15,16.28
3,4,5,4,18.08
3,4,9,0,17.36
3,1,8,3,18.22
3,2,9,2,19.68
3,4,4,8,23.06
3,1,7,0,22.02
4,4,0,0,2.079994
4,4,2,0,1.739998
4,3,0,0,2.799995
4,1,2,0,3.160004
4,4,3,0,2.760002
4,3,2,0,3.800003
4,3,1,0,4.32
4,1,4,0,3.68
4,1,3,0,4.260002
4,1,0,0,6.079994
4,3,5,6,4.68
4,4,9,0,2.699997
4,1,5,3,5.240005
4,2,4,4,5.980003
4,2,6,7,4.980003
4,2,1,0,7.799995
4,4,7,0,5.620003
4,1,9,4,4.760002
4,2,0,1,9.839996
4,4,8,4,5.779999
4,2,2,2,8.82
4,2,3,0,8.360001
4,3,3,5,9.300003
4,1,6,4,7.840004
4,2,7,2,7.780006
4,4,6,9,9.18
4,3,4,5,10.84
4,4,1,8,12.71999
4,3,7,0,10.56001
4,3,6,5,11.52
4,4,4,3,14.26
4,3,8,7,12.48
4,1,1,4,17
4,3,9,2,12.98
4,4,5,7,15.84
4,2,8,11,14.84
4,1,7,0,15.86
4,1,8,8,15.62
4,2,9,1,16.7
4,4,5,0,18.94
5,4,1,0,0.4599991
5,4,0,0,1.079994
5,1,0,0,2.419998
5,1,1,0,2.639999
5,1,4,0,1.519997
5,2,0,2,3.679993
5,2,2,2,3.160004
5,2,1,3,3.68
5,2,6,0,1.519997
5,2,3,0,3.059998
5,1,8,0,0.5999985
5,3,5,0,3.040001
